sim_episode,sim_ev,sim_petrol_car,sim_solar_panel,sim_power_generation,sim_power_consumption,sim_electricity_price,sim_carbon_tax,sim_revenue,sim_expenses,sim_money_in_bank,sim_current_day,sim_max_car,sim_max_electricity,sim_surplus_power
0,100,0,1705,3410,5000,0.4,0.701,300000,298100.312521,19277145.30387226,5000,100,10000,0
1,100,0,1968,3936,5000,0.4,0.701,300000,297740.3203828,19968267.57086876,5000,100,10000,0
2,100,0,2026,4052,5000,0.4,0.701,300000,297660.9304816,20047559.461650442,5000,100,10000,0
3,100,0,2392,4784,5000,0.4,0.701,300000,297159.9528292,20895974.855676714,5000,100,10000,0
4,100,0,2815,5630,5000,0.4,0.701,300000,296580.954067,22177142.357146837,5000,100,10000,0
5,100,0,3287,6574,5000,0.4,0.701,300000,295934.8845262,23414941.403897066,5000,100,10000,0
6,100,0,3561,7122,5000,0.4,0.701,300000,295559.8356826,24385842.953646317,5000,100,10000,0
