sim_episode,sim_ev,sim_petrol_car,sim_solar_panel,sim_power_generation,sim_power_consumption,sim_electricity_price,sim_carbon_tax,sim_revenue,sim_expenses,sim_money_in_bank,sim_current_day,sim_max_car,sim_max_electricity,sim_surplus_power
0,500,0,1496,2992,8000,0.4,1.0,500000,465878.7356,176820613.75272048,5000,500,16000,0
1,500,0,1228,2456,8000,0.4,1.0,500000,466310.5908,175898758.89233965,5000,500,16000,0
2,500,0,1081,2162,8000,0.4,1.0,500000,466547.4666,176563038.10906044,5000,500,16000,0
3,500,0,890,1780,8000,0.4,1.0,500000,466855.244,177196350.7358401,5000,500,16000,0
4,500,0,1109,2218,8000,0.4,1.0,500000,466502.34739999997,178202662.3035198,5000,500,16000,0
5,500,0,1267,2534,8000,0.4,1.0,500000,466247.7462,176946800.559361,5000,500,16000,0
6,500,0,1497,2994,8000,0.4,1.0,500000,465877.1242,177523959.36416048,5000,500,16000,0
