sim_episode,sim_ev,sim_petrol_car,sim_solar_panel,sim_power_generation,sim_power_consumption,sim_electricity_price,sim_carbon_tax,sim_revenue,sim_expenses,sim_money_in_bank,sim_current_day,sim_max_car,sim_max_electricity,sim_surplus_power
0,1000,0,1401,2802,2000,0.4,0.103,200000,192634.2274858,38888474.23222084,5000,1000,5000,0
1,1000,0,1531,3062,2000,0.4,0.103,200000,192519.36283980001,41135975.97604757,5000,1000,5000,0
2,1000,0,1783,3566,2000,0.4,0.103,200000,192296.7021414,40934757.87790537,5000,1000,5000,0
3,1000,0,1978,3956,2000,0.4,0.103,200000,192124.4051724,44687047.58327686,5000,1000,5000,0
4,1000,0,1596,3192,2000,0.4,0.103,200000,192461.9305168,40611962.27180111,5000,1000,5000,0
5,1000,0,1676,3352,2000,0.4,0.103,200000,192391.2445808,43763126.38489384,5000,1000,5000,0
6,1000,0,2002,4004,2000,0.4,0.103,200000,192103.1993916,43903426.96647839,5000,1000,5000,0
